country,continent,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index
Guatemala,America,21.68,71.03,5.69,9.14,1018.0,30.06,0.83,0.03,78.92,63.08,22.78,73.0,8.67,5.17,4.33,3.73,6.02,529.34,38.05,7.5,39.93,31.13,35.93,1.75,3.17
Guinea,Africa,26.31,79.36,5.42,8.72,1014.0,29.94,1.38,0.05,90.42,65.0,29.5,85.1,9.25,5.5,1.33,15.9,25.59,343.26,36.33,0.81,0.48,2.77,6.92,1.0,1.08
Guinea-Bissau,Africa,25.82,78.47,4.05,6.54,1013.08,29.91,0.2,0.01,91.58,39.33,29.05,84.26,8.0,4.33,1.42,13.18,21.22,343.52,20.43,0.7,0.39,2.09,3.78,1.0,1.0
Guyana,America,27.17,80.9,4.86,7.83,1011.33,29.86,0.18,0.01,84.58,33.33,30.99,87.77,9.58,5.75,1.0,13.43,21.59,290.68,32.71,4.75,3.83,2.43,7.77,1.0,1.0
Haiti,America,29.69,85.45,8.62,13.86,1012.33,29.89,2.58,0.1,73.25,50.5,37.98,100.36,8.92,5.0,4.17,4.84,7.79,672.3,94.66,11.15,7.72,15.73,28.51,1.42,1.83
Honduras,America,26.9,80.42,7.38,11.87,1016.25,30.01,0.39,0.02,59.42,42.33,29.97,85.93,10.0,6.0,5.0,6.1,9.81,387.05,31.57,5.1,1.97,3.3,7.53,1.08,1.08
Hungary,Europe,15.58,60.05,4.5,7.23,1017.83,30.06,0.12,0.0,84.67,6.25,15.74,60.33,10.0,6.0,1.33,6.07,9.73,288.44,27.92,19.46,3.2,12.54,15.67,1.17,1.67
Iceland,Atlantic,9.98,49.97,17.62,28.35,1003.42,29.63,0.43,0.02,87.0,77.75,7.0,44.59,9.0,5.33,1.17,25.47,40.98,229.48,56.06,0.22,0.25,1.51,3.57,1.0,1.0
India,Asia,28.78,83.79,4.78,7.71,1005.08,29.68,0.01,0.0,72.67,35.92,29.58,85.24,3.81,1.83,2.25,7.87,12.66,1177.43,38.23,16.12,10.4,87.41,127.5,2.83,5.42
Indonesia,Asia,22.84,73.12,4.83,7.76,1012.17,29.89,0.01,0.0,81.69,23.51,23.67,74.59,8.16,4.77,5.91,6.83,10.99,3596.97,29.45,33.2,17.53,161.97,210.13,2.97,4.63
Iran,Asia,26.92,80.45,6.89,11.07,1014.0,29.94,0.0,0.0,28.17,27.08,25.76,78.37,9.83,5.83,1.58,4.79,7.72,684.53,14.72,106.13,65.29,35.3,70.05,2.33,4.17
Iraq,Asia,31.92,89.45,3.42,5.5,1004.42,29.66,0.0,0.0,22.17,0.0,30.18,86.29,10.0,6.0,1.67,18.87,30.35,237.28,89.42,6.31,7.99,21.1,64.68,1.83,2.42
Ireland,Europe,14.25,57.65,5.84,9.42,1015.83,30.0,0.0,0.0,92.17,54.17,13.95,57.11,9.12,5.42,1.25,8.92,14.32,256.61,37.32,13.71,4.73,14.23,17.21,1.42,1.92
Israel,Asia,26.17,79.1,4.75,7.65,1009.08,29.8,0.0,0.0,73.0,25.0,27.12,80.82,10.0,6.0,1.5,10.84,17.44,323.22,45.46,41.21,6.12,18.56,38.93,1.58,2.08
Italy,Europe,20.92,69.65,4.02,6.44,1014.67,29.96,0.08,0.0,66.17,10.42,21.64,70.93,9.5,5.67,1.33,10.09,16.25,448.68,23.82,16.48,0.63,12.87,16.26,1.25,1.67
Jamaica,America,31.25,88.25,16.42,26.46,1010.92,29.85,0.0,0.0,74.0,36.42,43.08,109.5,10.0,6.0,5.67,4.94,7.96,998.31,26.87,18.07,7.38,8.77,13.38,1.08,1.33
Japan,Asia,28.42,83.15,10.55,16.97,1012.08,29.89,0.35,0.01,74.58,50.0,31.99,89.59,8.71,5.08,6.67,13.22,21.28,257.85,17.57,33.52,27.53,15.27,21.29,1.42,2.17
Jordan,Asia,24.75,76.55,3.65,5.88,1014.0,29.94,0.0,0.0,45.67,4.17,24.73,76.49,6.42,3.42,1.5,9.85,15.87,246.03,63.1,12.37,5.71,17.66,37.94,1.67,2.0
